1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,001000
3,000101
4,000010
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,000101
2,000010
3,001000
4,010000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,001000
3,000101
4,000010
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
1,001110
4,000001
0,000000
1,111111
3,011000
0,000000
